wn	d((Ix(M1:Vd)-Ix(M2:Vd)))
3.220000000000000e-06	-4.511094e-02
3.230000000000000e-06	-4.438334e-02
3.240000000000000e-06	-4.438334e-02
3.250000000000000e-06	-4.438334e-02
3.260000000000000e-06	-4.401954e-02
3.270000000000000e-06	-4.329195e-02
3.280000000000000e-06	-4.292815e-02
3.290000000000000e-06	-4.292815e-02
3.300000000000000e-06	-4.256435e-02
3.310000000000000e-06	-4.220055e-02
3.320000000000000e-06	-4.183676e-02
3.330000000000000e-06	-4.147296e-02
3.340000000000000e-06	-4.147296e-02
3.350000000000000e-06	-4.110916e-02
3.360000000000000e-06	-4.074536e-02
3.370000000000000e-06	-4.074536e-02
3.380000000000000e-06	-4.038156e-02
3.390000000000000e-06	-3.965397e-02
3.400000000000000e-06	-3.965397e-02
3.410000000000000e-06	-3.965397e-02
3.420000000000000e-06	-3.892637e-02
3.430000000000000e-06	-3.892637e-02
3.440000000000000e-06	-3.892637e-02
3.450000000000000e-06	-3.819878e-02
3.460000000000000e-06	-3.783498e-02
3.470000000000000e-06	-3.783498e-02
3.480000000000000e-06	-3.783498e-02
3.490000000000000e-06	-3.747118e-02
3.500000000000000e-06	-3.710738e-02
3.510000000000000e-06	-3.674359e-02
3.520000000000000e-06	-3.637979e-02
3.530000000000000e-06	-3.637979e-02
3.540000000000000e-06	-3.637979e-02
3.550000000000000e-06	-3.601599e-02
3.560000000000000e-06	-3.565219e-02
3.570000000000000e-06	-3.565219e-02
3.580000000000000e-06	-3.528839e-02
3.590000000000000e-06	-3.492460e-02
3.600000000000000e-06	-3.456080e-02
3.610000000000000e-06	-3.456080e-02
3.620000000000000e-06	-3.456080e-02
3.630000000000000e-06	-3.419700e-02
3.640000000000000e-06	-3.383320e-02
3.650000000000000e-06	-3.346941e-02
3.660000000000000e-06	-3.346941e-02
3.670000000000000e-06	-3.346941e-02
3.680000000000000e-06	-3.310561e-02
3.690000000000000e-06	-3.274181e-02
3.700000000000000e-06	-3.274181e-02
3.710000000000000e-06	-3.237801e-02
3.720000000000000e-06	-3.237801e-02
3.730000000000000e-06	-3.237801e-02
3.740000000000000e-06	-3.165042e-02
3.750000000000000e-06	-3.165042e-02
3.760000000000000e-06	-3.165042e-02
3.770000000000000e-06	-3.128662e-02
3.780000000000000e-06	-3.092282e-02
3.790000000000000e-06	-3.092282e-02
3.800000000000000e-06	-3.092282e-02
3.810000000000000e-06	-3.055902e-02
3.820000000000000e-06	-3.019522e-02
3.830000000000000e-06	-3.019522e-02
3.840000000000001e-06	-3.019522e-02
3.850000000000000e-06	-2.983143e-02
3.860000000000000e-06	-2.946763e-02
3.870000000000000e-06	-2.946763e-02
3.880000000000000e-06	-2.946763e-02
3.890000000000000e-06	-2.910383e-02
3.900000000000000e-06	-2.910383e-02
3.910000000000000e-06	-2.874003e-02
3.920000000000000e-06	-2.874003e-02
3.930000000000000e-06	-2.874003e-02
3.940000000000000e-06	-2.801244e-02
3.950000000000000e-06	-2.801244e-02
3.960000000000000e-06	-2.801244e-02
3.970000000000000e-06	-2.801244e-02
3.980000000000000e-06	-2.764864e-02
3.990000000000000e-06	-2.728484e-02
4.000000000000000e-06	-2.764864e-02
